month,lat_bin,lon_bin,count,mean_frp,h_share
2019-09,-34.3,119.3,2,3.9,0.0
2019-09,-34.3,138.5,1,0.6,0.0
2019-09,-34.3,138.7,1,3.3,0.0
2019-09,-34.3,142.1,1,3.8,0.0
2019-09,-34.3,142.3,62,7.243548387096775,0.016129032258064516
2019-09,-34.3,144.1,7,5.057142857142857,0.0
2019-09,-34.3,145.7,1,4.1,0.0
2019-09,-34.3,145.9,5,2.8,0.0
2019-09,-34.3,146.1,7,2.742857142857143,0.0
2019-09,-34.3,146.3,1,0.6,0.0
2019-09,-34.3,146.5,1,0.3,0.0
2019-09,-34.3,147.7,3,2.3666666666666667,0.0
2019-09,-34.3,148.7,1,1.4,0.0
2019-09,-34.3,149.1,3,1.5999999999999999,0.0
2019-09,-34.3,149.5,1,5.8,0.0
2019-09,-34.3,150.5,10,0.85,0.0
2019-09,-34.1,116.1,3,7.5,0.0
2019-09,-34.1,116.3,1,0.3,0.0
2019-09,-34.1,116.5,4,4.75,0.0
2019-09,-34.1,116.7,3,6.6000000000000005,0.0
2019-09,-34.1,116.9,4,1.075,0.0
2019-09,-34.1,117.3,2,2.1,0.0
2019-09,-34.1,118.1,1,2.1,0.0
2019-09,-34.1,138.5,1,2.2,0.0
2019-09,-34.1,139.7,1,4.5,0.0
2019-09,-34.1,142.1,4,3.65,0.0
2019-09,-34.1,142.3,12,16.575,0.0
2019-09,-34.1,142.5,1,7.6,0.0
2019-09,-34.1,145.5,1,0.5,0.0
2019-09,-34.1,145.9,1,0.5,0.0
2019-09,-34.1,146.9,1,2.0,0.0
2019-09,-34.1,147.3,1,0.5,0.0
2019-09,-34.1,148.7,5,5.2,0.0
2019-09,-34.1,149.1,2,10.399999999999999,0.0
2019-09,-34.1,149.5,1,6.1,0.0
2019-09,-34.1,149.9,179,16.730726256983242,0.07262569832402235
2019-09,-34.1,150.1,200,10.931499999999998,0.07
2019-09,-34.1,150.3,56,2.876785714285714,0.0
2019-09,-34.1,150.5,207,6.354589371980677,0.05314009661835749
2019-09,-33.9,115.7,77,9.094805194805193,0.025974025974025976
2019-09,-33.9,116.1,4,3.95,0.0
2019-09,-33.9,116.3,1,1.9,0.0
2019-09,-33.9,116.5,6,1.6666666666666667,0.0
2019-09,-33.9,116.7,20,4.745,0.1
2019-09,-33.9,116.9,7,2.5285714285714285,0.0
2019-09,-33.9,117.1,4,1.275,0.0
2019-09,-33.9,117.3,1,0.8,0.0
2019-09,-33.9,117.9,6,1.1166666666666667,0.0
2019-09,-33.9,118.1,3,6.0,0.0
2019-09,-33.9,118.9,2,4.75,0.0
2019-09,-33.9,122.7,16,3.8562499999999997,0.0
2019-09,-33.9,141.9,1,1.3,0.0
2019-09,-33.9,142.1,1,3.0,0.0
2019-09,-33.9,145.7,1,1.9,0.0
2019-09,-33.9,146.7,1,1.9,0.0
2019-09,-33.9,147.1,3,3.533333333333333,0.0
2019-09,-33.9,147.7,1,4.7,0.0
2019-09,-33.9,148.5,3,10.833333333333334,0.0
2019-09,-33.9,149.9,21,16.947619047619046,0.09523809523809523
2019-09,-33.9,150.1,167,11.48622754491018,0.07784431137724551
2019-09,-33.9,150.3,171,4.848538011695907,0.03508771929824561
2019-09,-33.9,150.5,128,7.07265625,0.0546875
2019-09,-33.7,115.3,1,0.5,0.0
2019-09,-33.7,115.7,59,4.584745762711864,0.01694915254237288
2019-09,-33.7,115.9,13,7.707692307692308,0.0
2019-09,-33.7,116.1,3,3.5666666666666664,0.0
2019-09,-33.7,116.3,1,0.4,0.0
2019-09,-33.7,116.7,2,0.75,0.0
2019-09,-33.7,116.9,1,0.4,0.0
2019-09,-33.7,117.1,8,2.025,0.0
2019-09,-33.7,117.5,1,0.8,0.0
2019-09,-33.7,117.7,1,0.3,0.0
2019-09,-33.7,117.9,1,0.7,0.0
2019-09,-33.7,118.1,1,2.7,0.0
2019-09,-33.7,119.3,1,3.9,0.0
2019-09,-33.7,120.7,1,4.7,0.0
2019-09,-33.7,121.5,9,6.800000000000001,0.0
2019-09,-33.7,122.1,7,5.757142857142857,0.0
2019-09,-33.7,122.3,3,5.0,0.3333333333333333
2019-09,-33.7,122.5,3,2.1,0.0
2019-09,-33.7,122.9,14,7.914285714285714,0.0
2019-09,-33.7,141.9,2,1.25,0.0
2019-09,-33.7,142.9,24,41.59583333333334,0.375
2019-09,-33.7,147.1,1,5.9,0.0
2019-09,-33.7,147.5,2,1.7,0.0
2019-09,-33.7,148.1,2,1.05,0.0
2019-09,-33.7,148.3,1,7.0,0.0
2019-09,-33.7,148.5,1,4.1,0.0
2019-09,-33.7,149.3,10,4.220000000000001,0.0
2019-09,-33.7,149.7,1,1.2,0.0
2019-09,-33.7,150.3,14,18.821428571428573,0.07142857142857142
2019-09,-33.7,150.9,8,1.375,0.0
2019-09,-33.5,115.7,74,10.159459459459459,0.05405405405405406
2019-09,-33.5,115.9,5,1.48,0.0
2019-09,-33.5,116.7,1,0.3,0.0
2019-09,-33.5,116.9,1,1.0,0.0
2019-09,-33.5,117.5,2,0.45,0.0
2019-09,-33.5,119.5,5,19.42,0.0
2019-09,-33.5,121.1,1,12.8,0.0
2019-09,-33.5,138.7,1,0.8,0.0
2019-09,-33.5,145.5,2,1.7,0.0
2019-09,-33.5,145.7,1,0.7,0.0
2019-09,-33.5,146.7,1,12.9,0.0
2019-09,-33.5,147.3,3,0.8666666666666667,0.0
2019-09,-33.5,147.5,2,0.8500000000000001,0.0
2019-09,-33.5,147.9,1,0.7,0.0
2019-09,-33.5,148.1,1,1.1,0.0
2019-09,-33.5,148.3,2,3.3,0.0
2019-09,-33.5,149.3,1,1.5,0.0
2019-09,-33.5,150.5,130,3.9323076923076923,0.007692307692307693
2019-09,-33.5,150.7,81,4.396296296296296,0.037037037037037035
2019-09,-33.5,150.9,55,3.5527272727272727,0.01818181818181818
2019-09,-33.5,151.1,200,5.377000000000001,0.015
2019-09,-33.3,115.7,4,0.7,0.0
2019-09,-33.3,115.9,25,4.252,0.0
2019-09,-33.3,116.1,18,1.1888888888888889,0.0
2019-09,-33.3,116.3,3,3.0,0.0
2019-09,-33.3,116.7,3,3.4,0.0
2019-09,-33.3,121.3,1,3.1,0.0
2019-09,-33.3,122.9,89,38.949438202247194,0.15730337078651685
2019-09,-33.3,138.7,3,3.233333333333333,0.0
2019-09,-33.3,141.7,1,0.6,0.0
2019-09,-33.3,145.5,1,13.0,0.0
2019-09,-33.3,145.9,1,2.5,0.0
2019-09,-33.3,146.7,1,1.4,0.0
2019-09,-33.3,146.9,8,6.1499999999999995,0.0
2019-09,-33.3,147.1,38,4.105263157894737,0.07894736842105263
2019-09,-33.3,147.3,2,3.9,0.0
2019-09,-33.3,148.3,3,2.6999999999999997,0.0
2019-09,-33.3,148.9,1,1.8,0.0
2019-09,-33.3,149.1,6,2.15,0.0
2019-09,-33.3,149.3,1,1.8,0.0
2019-09,-33.3,149.9,7,29.414285714285715,0.0
2019-09,-33.3,150.3,425,24.334352941176473,0.10352941176470588
2019-09,-33.3,150.5,48,3.5083333333333333,0.0
2019-09,-33.3,150.7,50,2.6439999999999997,0.0
2019-09,-33.3,150.9,22,3.290909090909091,0.0
2019-09,-33.3,151.1,228,4.358333333333333,0.03070175438596491
2019-09,-33.3,151.3,40,9.565,0.025
2019-09,-33.1,115.9,1,0.7,0.0
2019-09,-33.1,116.1,76,6.6986842105263165,0.02631578947368421
2019-09,-33.1,116.5,2,4.8,0.0
2019-09,-33.1,116.7,1,0.6,0.0
2019-09,-33.1,117.3,1,2.7,0.0
2019-09,-33.1,117.5,1,0.6,0.0
2019-09,-33.1,121.5,1,0.7,0.0
2019-09,-33.1,123.5,28,14.757142857142856,0.03571428571428571
2019-09,-33.1,123.7,41,11.458536585365854,0.024390243902439025
2019-09,-33.1,137.5,84,2.354761904761905,0.0
