latitude,longitude,acq_date,acq_time,confidence,frp
-36.16362,147.83167,30/12/2019,1512,n,4.8
-15.29535,126.71019,10/12/2019,518,l,5.4
-34.922,150.46402,31/12/2019,1454,n,1.5
-17.49834,129.85831,23/10/2019,1624,n,7.3
-12.89351,132.7327,30/11/2019,500,n,3.9
-15.62929,144.12726,11/10/2019,1542,n,0.9
-30.87326,152.17416,18/10/2019,324,n,20.4
-29.27163,153.08121,21/11/2019,424,n,16.2
-16.89429,137.66212,18/12/2019,424,n,4.4
-30.76814,152.03709,13/09/2019,241,h,14.1
-18.28331,143.86177,23/12/2019,1536,n,1.4
-37.10086,144.25134,18/11/2019,342,n,18.4
-34.84531,138.95447,20/12/2019,1500,n,2.1
-22.15253,119.98524,25/11/2019,454,n,5.9
-37.55391,148.53691,31/12/2019,1454,n,2.8
-32.42135,137.84912,12/11/2019,448,l,39.6
-32.15471,121.51479,19/12/2019,1700,n,2.0
-27.71136,130.47345,25/10/2019,430,l,5.4
-16.53015,125.997,29/11/2019,1630,n,10.6
-29.36957,151.67937,16/11/2019,1536,n,1.2
-18.22541,144.37305,19/10/2019,1600,n,2.0
-37.28646,148.53192,24/12/2019,406,n,34.1
-13.62035,132.59735,26/12/2019,512,n,3.7
-31.54882,151.86238,18/11/2019,1500,n,6.5
-32.67673,150.27823,21/12/2019,1442,n,1.4
-23.47566,138.25877,21/11/2019,430,l,7.7
-25.41037,148.31905,19/10/2019,448,h,113.0
-28.4208,128.85011,10/12/2019,518,h,9.7
-27.70598,128.15846,28/12/2019,430,h,26.6
-15.75343,144.17249,19/11/2019,1618,n,1.1
-31.38035,123.92828,30/10/2019,618,h,13.6
-22.14549,149.23827,15/11/2019,1554,n,1.0
-31.60234,124.1025,11/10/2019,1548,n,2.5
-29.79856,152.63391,18/11/2019,1500,n,0.7
-30.15362,152.51294,09/11/2019,319,n,2.2
-30.59737,152.42786,16/12/2019,318,l,10.4
-29.33692,152.36278,11/10/2019,430,n,10.8
-30.95472,152.30104,18/11/2019,1500,n,1.2
-30.2171,132.72797,30/12/2019,536,n,6.8
-25.10134,149.2813,12/09/2019,1500,n,1.0
-17.04902,138.23549,16/12/2019,500,h,10.8
-31.63896,151.21359,20/12/2019,1500,n,3.1
-28.67987,129.65372,10/09/2019,430,h,18.1
-37.64056,148.13016,30/12/2019,1512,n,12.3
-19.83619,144.52904,30/12/2019,1506,n,1.7
-29.28394,152.89122,22/11/2019,1524,n,2.0
-37.60609,149.04709,31/12/2019,1454,n,1.6
-14.5333,131.1667,17/10/2019,1636,n,2.5
-37.60637,148.78868,01/01/2020,1436,n,4.9
-14.12077,130.78827,09/09/2019,1650,n,1.5
-31.70821,152.41335,13/11/2019,336,n,6.9
-25.18398,147.29805,16/12/2019,1430,n,1.3
-15.26968,143.22183,18/12/2019,1530,n,3.1
-31.43902,151.19048,31/10/2019,1536,n,1.8
-32.75887,120.32494,14/12/2019,536,n,4.9
-32.23716,121.67001,20/12/2019,1642,n,1.4
-11.62521,142.55841,24/11/2019,1624,n,0.8
-38.22895,147.16542,19/12/2019,1518,n,2.1
-14.50562,131.18933,18/10/2019,1618,n,1.0
